region,zone,name,distance_km,price,is_active
Gold Coast,Hinterland,Reedy Creek,14.89,88.00,True
Gold Coast,Hinterland,Robina,20.71,85.00,True
Gold Coast,Hinterland,Tamborine Mountain,56.13,125.00,True
Gold Coast,Hinterland,Varsity Lakes,17.39,88.00,True
Gold Coast,Hinterland,Worongary,24.81,85.00,True
Gold Coast,Northern Gold Coast,Arundel,37.71,95.00,True
Gold Coast,Northern Gold Coast,Austinville,29.00,95.00,True
Gold Coast,Northern Gold Coast,Biggera Waters,41.63,95.00,True
Gold Coast,Northern Gold Coast,Coombabah,43.46,98.00,True
Gold Coast,Northern Gold Coast,Highland Park,28.02,92.00,True
Gold Coast,Northern Gold Coast,Hollywell,45.33,98.00,True
Gold Coast,Northern Gold Coast,Labrador,41.78,95.00,True
Gold Coast,Northern Gold Coast,Main Beach,30.09,92.00,True
Gold Coast,Northern Gold Coast,Molendinar,35.64,95.00,True
Gold Coast,Northern Gold Coast,Nerang,29.71,92.00,True
Gold Coast,Northern Gold Coast,Neranwood,27.05,85.00,True
Gold Coast,Northern Gold Coast,Paradise Point,50.85,100.00,True
Gold Coast,Northern Gold Coast,Parkwood,39.82,95.00,True
Gold Coast,Northern Gold Coast,Runaway Bay,43.62,98.00,True
Gold Coast,Northern Gold Coast,Southport,29.88,95.00,True
Gold Coast,Outer Northern Gold Coast,Advancetown,33.67,115.00,True
Gold Coast,Outer Northern Gold Coast,Alberton,67.42,140.00,True
Gold Coast,Outer Northern Gold Coast,Clagiraba,39.78,120.00,True
Gold Coast,Outer Northern Gold Coast,Guanaba,46.22,135.00,True
Gold Coast,Outer Northern Gold Coast,Lower Beechmont,42.35,120.00,True
Gold Coast,Outer Northern Gold Coast,Numinbah Valley,52.43,150.00,True
Gold Coast,Outer Northern Gold Coast,Springbrook,41.43,130.00,True
Gold Coast,Outer Northern Gold Coast,Willow Vale,50.37,150.00,True
Gold Coast,Outer Northern Gold Coast,Wongawallan,51.60,155.00,True
Gold Coast,Southern Gold Coast,Burleigh Heads,14.11,75.00,True
Gold Coast,Southern Gold Coast,Burleigh Waters,17.09,78.00,True
Gold Coast,Southern Gold Coast,Currumbin Valley,17.03,60.00,True
Gold Coast,Southern Gold Coast,Elanora,8.47,70.00,True
Gold Coast,Southern Gold Coast,Miami,13.46,80.00,True
Gold Coast,Southern Gold Coast,Nobby Beach,14.74,80.00,True
Gold Coast,Southern Gold Coast,Palm Beach,6.29,68.00,True
Gold Coast,Southern Gold Coast,Tallebudgera,11.41,72.00,True
Gold Coast,Southern Gold Coast,Tallebudgera Valley,17.24,78.00,True
Gold Coast,Southern Gold Coast,West Burleigh,10.99,78.00,True
